"category_id","category_name"
124635,Centrifugal Pumps
261791,Air Pumps
164068,Nickelback
179249,Accessories
257901,Footrests
50777,Buildings
258569,Commercial Baking Supplies
183461,CCG Card Sleeves
57275,Trampolines
50769,Little Mermaid
165615,Radios
13607,"Pins, Badges & Patches"
159705,Other Beverage & Snack Vending
182033,Pants
99231,Projector Replacement Parts
260752,Sex Pillows & Wedges
71000,Casino-related
171171,Price Guides & Publications
108826,"Minogue, Kylie"
73236,Tonga (1900-70)
2878,Racing-NHRA
75035,Kits & Bags
106981,Track & Field
52,Other Autographed Sports Mem
86009,Rage Against the Machine
157013,Cowrie
4728,Posters & Prints
82516,Abalone
19017,"Balls, Flying Discs & Boomerangs"
179772,Pants
257932,Smart Lighting Parts
43509,Air Filters
118869,Seeders & Spreaders
262371,Creamers
156423,"Paper Items, Newspapers"
122906,Forks
261821,Air Pumps
258208,Jig & Scroll Saw Blades
259029,Floor Sanders
181885,LED Segmented Displays
1105,Textbooks
261588,Tapestries
8677,Books
258000,Rice
61,Other Orig Rock/Pop Autographs
171122,Price Guides & Publications
258621,Meat Mixers & Tumblers
3226,Crystals
149930,Seated (1837-1873)
20168,Burger King
95119,Salt & Pepper Shakers
173693,Federation (1992-Now)
4715,Flint Knapping Art
171201,Price Guides & Publications
25846,Other Bakeware & Ovenware
71197,Digitizing Software
117014,Sticky Notes
146309,Candle & Soap Making Guides
95672,Athletic Shoes
73543,Star Wars
19181,Other Preschool & Pretend Play
48515,Flashes
95073,Other Commercial Baking Equipment
168242,First & Main
99697,Washer & Dryer Parts
56088,Server CPUs/Processors
168061,Other Laptop Replacement Parts
162149,Uganda
177887,Benches & Rests
159903,Microwave Parts
51017,Party Supplies
1525,Drugstores
102369,International
96836,Virgin Atlantic
158962,Rims & Nets
28146,Knitting Machines
163141,Jackets
50768,Lilo & Stitch
91320,Skye Terrier
50732,Coolers
66737,Bed & Waterbed Accessories
156502,International Locations
166734,Other Vintage & Antique Jewelry
183430,Electric Fence Posts
178894,Smart Glasses
181194,Electronic Keyboards
176968,Ties
182111,DJ Controllers
11865,Concealer
53255,Novelties
177666,Foundation
258205,Hacksaw Blades
167951,Tokens: Parking
86174,Reclosable & Zipper Bags
29918,Photos
184190,Spray Adhesives
83896,Candle & Soap Making Chemicals
39502,Wine
35857,Frames
257881,Lab Cabinets & Casework
258024,Novelty Chocolates
67171,Commercial Ice Machines
258155,Countersinks
63748,Card Shuffler
183217,Needle Felting Molds
260243,Air Compressor Accessory Kits
261030,Reels
200,Black & White
53256,Other David Bowie Memorabilia
258242,Plastic Round Tubes
804,"1970-Now"
258385,Lathe Chucks
58353,"Cords, Cables & Adapters"
163984,Boston
10887,Koalas
165723,Birds
107440,Thimbles
27276,Helmets
38031,QSL Cards
182008,Data Acquisition Units/Systems
35830,Pendants & Pins
162134,Scrap & Recovered Gold
165610,Photographs
106776,Other Baby Dishes
182946,Wire Tip Cleaners
183427,Cart & Carriage Parts & Accs
261002,Garden Gate Parts
150955,Shoe Charms & Jewelry
13571,Audi
181326,Bat Care
530,US
58543,Accessory Bundles
59032,"Bricks, Stones & Concrete Blocks"
104219,Concrete Cut-Off Saws
260233,Bump Caps
165554,Inventors & Geniuses
148640,Footrests
57721,Hands
36261,Snow Pants & Bibs
90838,Folk
183994,Oil-Water Separators
146000,Parachutes
257951,Marzipan
177805,Bottom Brackets
100989,Sleeping Bags & Sleepsacks
